Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_LOGIN Panel_txtUsername""), username)",Chrome 114.0.0.0,,,2023-07-04 15:55:37,2023-07-04 15:55:38,0.846s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_txtPassword""), password)",Chrome 114.0.0.0,,,2023-07-04 15:55:38,2023-07-04 15:55:39,0.681s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_Submit""))",Chrome 114.0.0.0,,,2023-07-04 15:55:39,2023-07-04 15:55:39,0.388s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-07-04 15:55:39,2023-07-04 15:55:40,0.693s,PASSED
,,,,,,,
Test Cases/login,Chrome 114.0.0.0,,,2023-07-04 15:55:40,2023-07-04 15:55:44,4.241s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-04 15:55:40,2023-07-04 15:55:41,1.246s,PASSED
"navigateToUrl(""http://localhost/orangehrm-4.5/orangehrm-4.5/symfony/web/index.php/auth/login"")",Chrome 114.0.0.0,,,2023-07-04 15:55:41,2023-07-04 15:55:41,0.368s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_LOGIN Panel_txtUsername""), username)",Chrome 114.0.0.0,,,2023-07-04 15:55:41,2023-07-04 15:55:42,0.876s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_txtPassword""), password)",Chrome 114.0.0.0,,,2023-07-04 15:55:42,2023-07-04 15:55:43,0.687s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_Submit""))",Chrome 114.0.0.0,,,2023-07-04 15:55:43,2023-07-04 15:55:43,0.373s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-07-04 15:55:43,2023-07-04 15:55:44,0.671s,PASSED
